StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q8,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q2_15,Q2_16,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_6_TEXT,Q19,Q19_18_TEXT,Q20,Q22,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q28,Q29,Q30,Q31,Q32,Q33,Q35,Q36
2017-05-24 08:14:27,2017-05-24 08:14:28,Survey Test,,100,1,True,2017-05-24 08:14:28,R_b4lM30rtEHzuiwJ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree moderately,Disagree moderately,Neither positive nor negative,Very positive,Slightly negative,Slightly negative,Slightly negative,Positive,Neither positive nor negative,Very negative,Positive,Negative,Negative,Positive,Positive,Slightly negative,Slightly positive,Neither positive nor negative,Extremely characteristic of me (7),6,Extremely uncharacteristic of me (1),4,Extremely uncharacteristic of me (1),3,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),3,6,6,Extremely uncharacteristic of me (1),2,3,3,3,6,5,Always or definitely yes (9),Always or definitely yes (9),5,3,4,3,2,3,8,8,7,107,Prefer not to answer,Elementary school,No,,,,Disabled,,Other Christian Religion,,Annually (at least once a year),38,64,Divorced,57808,"Yes, born in this country",1 day,4 days,7 days,On a computer or tablet at school,6,No,,,No,No,
2017-05-24 08:14:28,2017-05-24 08:14:28,Survey Test,,100,0,True,2017-05-24 08:14:28,R_8ljGAJd00NtIAzX,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree a little,Disagree strongly,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Neither agree nor disagree,Disagree a little,Agree moderately,Very negative,Negative,Very positive,Slightly positive,Positive,Very positive,Very negative,Slightly positive,Slightly positive,Neither positive nor negative,Neither positive nor negative,Slightly positive,Very positive,Negative,Negative,Positive,Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,6,6,2,Extremely characteristic of me (7),3,3,4,4,5,3,Extremely uncharacteristic of me (1),3,Always or definitely yes (9),Always or definitely yes (9),2,2,7,Always or definitely yes (9),Always or definitely yes (9),6,Always or definitely yes (9),Always or definitely yes (9),3,Always or definitely yes (9),5,Never or definitely no (1),53,Female,Post-graduate degree,Yes,13,Work for an employer,Military,,,Mormon/Latter-Day Saints,,Do not regularly attend religious services,13,44,Separated,32615,"No, not born in this country",6 days,7 days,4 days,On a computer or tablet at school,4,Yes,5986,3,No,No,
2017-05-24 08:14:29,2017-05-24 08:14:29,Survey Test,,100,0,True,2017-05-24 08:14:29,R_eX9oQg3RCuXKnYN,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree strongly,Agree strongly,Agree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree strongly,Disagree strongly,Disagree moderately,Neither agree nor disagree,Slightly positive,Neither positive nor negative,Neither positive nor negative,Very positive,Positive,Positive,Negative,Negative,Positive,Positive,Slightly negative,Neither positive nor negative,Very negative,Slightly negative,Negative,Neither positive nor negative,2,5,Extremely characteristic of me (7),3,Extremely characteristic of me (7),3,2,5,3,6,2,5,Extremely characteristic of me (7),6,6,Never or definitely no (1),6,Always or definitely yes (9),8,Always or definitely yes (9),4,8,5,6,4,Never or definitely no (1),2,2,4,146,Female,Some college,Yes,12,Self-employed,Military,,,Buddhism,,Weekly (at least once a week),50,55,Separated,57847,"Yes, born in this country",2 days,5 days,3 days,On a computer or tablet at school,6,No,,,Yes,Yes,13
2017-05-24 08:14:29,2017-05-24 08:14:29,Survey Test,,100,0,True,2017-05-24 08:14:29,R_73ZNcZGFwvQHpjf,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Disagree a little,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Disagree moderately,Agree a little,Slightly negative,Negative,Very positive,Positive,Slightly positive,Positive,Positive,Neither positive nor negative,Slightly negative,Negative,Neither positive nor negative,Slightly positive,Very positive,Positive,Slightly negative,Slightly positive,6,4,3,Extremely uncharacteristic of me (1),4,5,6,Extremely uncharacteristic of me (1),6,Extremely characteristic of me (7),Extremely uncharacteristic of me (1),2,2,6,3,Never or definitely no (1),Always or definitely yes (9),4,Always or definitely yes (9),2,4,4,8,Never or definitely no (1),Always or definitely yes (9),Never or definitely no (1),2,6,3,5,Male,Elementary school,No,,,,Student,,Other Christian Religion,,Do not regularly attend religious services,8,47,Married,11162,"No, not born in this country",3 days,7 days,Less than once a week,On a computer or tablet at home,13,Yes,76785,19,No,No,
2017-05-24 08:14:30,2017-05-24 08:14:30,Survey Test,,100,0,True,2017-05-24 08:14:30,R_2fbtWQkGFJ9xODP,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Disagree moderately,Disagree strongly,Agree strongly,Negative,Slightly positive,Very negative,Very negative,Slightly negative,Neither positive nor negative,Slightly positive,Negative,Neither positive nor negative,Very negative,Very positive,Very positive,Very positive,Very positive,Neither positive nor negative,Very positive,Extremely characteristic of me (7),6,Extremely uncharacteristic of me (1),2,3,Extremely uncharacteristic of me (1),4,6,Extremely uncharacteristic of me (1),2,3,Extremely uncharacteristic of me (1),4,4,7,4,6,5,2,Never or definitely no (1),5,3,7,8,7,8,8,Never or definitely no (1),Always or definitely yes (9),28,Prefer not to answer,Elementary school,No,,,,Disabled,,Protestant,,Annually (at least once a year),66,45,Separated,93464,"Yes, born in this country",Less than once a week,5 days,3 days,On a computer or tablet at home,19,No,,,Yes,Yes,14
2017-05-24 08:14:30,2017-05-24 08:14:30,Survey Test,,100,0,True,2017-05-24 08:14:30,R_5gmUIDsb9PPavwp,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Agree strongly,Disagree moderately,Agree a little,Disagree a little,Disagree strongly,Agree a little,Very negative,Neither positive nor negative,Slightly negative,Slightly negative,Very negative,Slightly positive,Neither positive nor negative,Slightly positive,Very negative,Positive,Very negative,Positive,Slightly positive,Slightly negative,Very positive,Slightly negative,Extremely characteristic of me (7),2,Extremely uncharacteristic of me (1),5,6,6,5,6,4,3,2,3,2,3,Never or definitely no (1),4,Always or definitely yes (9),4,Always or definitely yes (9),Always or definitely yes (9),6,Never or definitely no (1),Never or definitely no (1),3,5,4,8,2,3,95,Male,Post-graduate degree,No,,,,"Other, please list",Purus pharetra? Vehicula wisi? Ipsum ac! Fermentum id consequat porttitor accumsan sit cursus eu.,Other Non-Christian Religion,,Do not regularly attend religious services,55,16,Divorced,66273,"No, not born in this country",1 day,Less than once a week,3 days,On a computer or tablet at school,18,No,,,Yes,Yes,11
2017-05-24 08:14:31,2017-05-24 08:14:31,Survey Test,,100,0,True,2017-05-24 08:14:31,R_6KBjV7Wl0JbFAvX,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree strongly,Neither agree nor disagree,Disagree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Disagree strongly,Disagree a little,Positive,Slightly positive,Very positive,Positive,Negative,Slightly positive,Very positive,Negative,Positive,Slightly negative,Negative,Positive,Very negative,Slightly positive,Slightly negative,Very positive,3,3,5,3,5,3,Extremely characteristic of me (7),Extremely characteristic of me (7),Extremely characteristic of me (7),2,Extremely characteristic of me (7),5,6,2,4,3,2,3,4,6,8,Never or definitely no (1),2,Never or definitely no (1),Never or definitely no (1),6,4,3,8,37,Male,College degree,No,,,,Homemaker (including stay-at-home parents),,Don’t know,,,88,78,Widowed,11746,"Yes, born in this country",4 days,2 days,6 days,On a computer or tablet at school,10,Yes,96718,8,Yes,No,
2017-05-24 08:14:31,2017-05-24 08:14:31,Survey Test,,100,0,True,2017-05-24 08:14:32,R_0urkzUs9GGkSsMR,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Disagree a little,Disagree moderately,Neither agree nor disagree,Disagree a little,Negative,Positive,Positive,Very negative,Neither positive nor negative,Slightly negative,Very positive,Very negative,Neither positive nor negative,Positive,Slightly negative,Negative,Neither positive nor negative,Negative,Slightly negative,Slightly positive,Extremely uncharacteristic of me (1),2,2,5,Extremely uncharacteristic of me (1),4,Extremely characteristic of me (7),4,3,Extremely characteristic of me (7),3,4,6,5,Always or definitely yes (9),4,6,Always or definitely yes (9),7,2,5,2,3,3,2,Never or definitely no (1),8,3,8,61,Female,High school,No,,,,Student,,Buddhism,,Do not regularly attend religious services,65,17,Single/Never been married,27078,"Yes, born in this country",2 days,Less than once a week,1 day,"On a computer or tablet at a public place (e.g., library)",8,Yes,55045,15,Yes,Yes,11
2017-05-24 08:14:32,2017-05-24 08:14:32,Survey Test,,100,0,True,2017-05-24 08:14:32,R_5aOzgAoog42cMYd,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Agree strongly,Slightly positive,Neither positive nor negative,Slightly positive,Negative,Negative,Negative,Positive,Negative,Slightly negative,Positive,Very negative,Slightly negative,Very negative,Slightly positive,Neither positive nor negative,Very positive,4,3,6,Extremely characteristic of me (7),2,Extremely uncharacteristic of me (1),2,2,Extremely characteristic of me (7),6,Extremely uncharacteristic of me (1),2,4,4,5,7,8,4,6,8,5,7,2,Never or definitely no (1),5,Never or definitely no (1),Never or definitely no (1),8,2,40,Male,Post-graduate degree,Yes,15,Self-employed,Other,,,Islam/Muslim (Sunni),,Do not regularly attend religious services,32,50,Widowed,64394,"No, not born in this country",1 day,6 days,Never,On a computer or tablet at home,24,No,,,No,No,
2017-05-24 08:14:32,2017-05-24 08:14:33,Survey Test,,100,1,True,2017-05-24 08:14:33,R_bkhwB0IfNqJYHqJ,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,Agree moderately,Positive,Very negative,Very negative,Very positive,Negative,Very negative,Slightly negative,Very positive,Slightly positive,Slightly positive,Very positive,Very positive,Slightly negative,Negative,Slightly positive,Negative,6,3,Extremely characteristic of me (7),2,Extremely characteristic of me (7),3,3,6,6,2,4,6,6,Extremely characteristic of me (7),2,8,Always or definitely yes (9),Always or definitely yes (9),2,5,Always or definitely yes (9),5,Never or definitely no (1),7,2,6,4,6,6,41,Prefer not to answer,None,Yes,6,Work for an employer,Managerial,,,Spiritism,,Weekly (at least once a week),66,6,Divorced,64388,"Yes, born in this country",2 days,6 days,4 days,"On a computer or tablet at a public place (e.g., library)",6,Yes,79222,6,No,No,
2017-05-24 08:14:33,2017-05-24 08:14:33,Survey Test,,100,0,True,2017-05-24 08:14:33,R_7TCbIITiQXTEeY5,,,,,45.580902099609,-94.208099365234,test,I consent to participate in this experiment.,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Disagree strongly,Disagree moderately,Agree a little,Neither agree nor disagree,Disagree strongly,Agree moderately,Slightly positive,Neither positive nor negative,Very negative,Positive,Positive,Very negative,Positive,Very positive,Positive,Negative,Slightly negative,Slightly negative,Negative,Positive,Slightly positive,Slightly positive,Extremely uncharacteristic of me (1),Extremely uncharacteristic of me (1),Extremely characteristic of me (7),5,Extremely uncharacteristic of me (1),6,6,4,Extremely characteristic of me (7),6,2,4,2,3,2,Always or definitely yes (9),Never or definitely no (1),4,5,5,3,7,5,5,Never or definitely no (1),7,Always or definitely yes (9),Always or definitely yes (9),7,11,Other,None,No,,,,Retired,,Jewish,,Do not regularly attend religious services,41,49,Married,35364,"No, not born in this country",Less than once a week,6 days,1 day,On a computer or tablet at school,10,No,,,No,No,
